Data element,Period,OrganisationUnit,CategoryCombo,AttributeCombo,Value
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,3
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,8
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,8
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,6
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,8
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,8
,2018Q2,,,JVafaPfopJf,16
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,3
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,4
